partner,website
2M Consulting,http://2mconsultingllc.com
"2M Research Services, LLC",http://2mresearchservices.com/
"A Square Group, LLC",https://www.a2-g.com/
Abt Associates,http://www.abtassociates.com/
Acuity,http://www.teamacuity.com/
Acumen,https://www.acumenllc.com/
"Advocates for Human Potential, Inc.",http://ahpnet.com/
"Affirma Solutions, Inc.",http://www.affirmasolutions.com/
"AFYA, Inc",http://www.afyainc.com/
"A-G Associates, Inc.",http://www.a-gassociates.com/
Akira Technologies,http://www.akira-tech.com/ 
Akoya,http://www.akoyaonline.com
Altarum Institute,https://altarum.org/
"Alutiiq Commercial Enterprises, LLC",https://www.alutiiq.com/ 
Alvarez & Marscal,https://www.alvarezandmarsal.com/
American Institutes for Research,http://www.air.org
Aquilent,https://www.boozallen.com/s/expertise/aquilent.html
Aquiline Group,http://theaquilinegroup.com/
"Arch Systems, LLC",https://archsystemsinc.com/
ARDX,https://ardx.net/
Armed Forces Services Corporation,http://www.afsc.com/
Armstrong Consulting,https://www.armstrongconsulting.com/
ASHLIN Management Group,http://www.ashlininc.com/
Atlas Research,https://www.atlasresearch.us/
ATW Health Solutions ,http://atwhealth.com/
AVAR Consulting,https://www.avarconsulting.com/
Harris and Smith,http://harrisandsmith.com/about.html
Battelle,https://www.battelle.org/
BCT  Partners,http://www.bctpartners.com
BCT Partners,https://www.bctpartners.com/
"BITS Consulting, LLC",http://bitsconsultingllc.com
"BLH Technologies, Inc.",https://blhtech.com/
Booz Allen Hamilton,https://www.boozallen.com/
Bowhead Systems,https://www.bowheadsupport.com/
Briljent,https://briljent.com
Cambridge Systematics,http://camsys.com/
Capital Consulting Corporation,http://www.capconcorp.com/
"Carter Consulting, Inc.",http://www.carterci.com/
"CDM Group, Inc.",http://www.cdmgroup.com/
Center for Applied Research Solutions (CARS),http://www.cars-rp.org/
"Center for Social Innovation, LLC",http://center4si.com/
Change Matrix ,http://www.changematrix.org
Chenega Corporation,http://www.chenega.com/
"Cherokee Nation Strategic Programs, LLC",http://cherokee-cnrl.com/
"Child Trends, Inc.",https://www.childtrends.org/
Clinovations Govermnet Health,http://www.govhealth.com/
CohnReznick,https://www.cohnreznick.com/
"Community Sciences, Inc.",http://www.communityscience.com/
"Contracting Resources Group, Inc.",https://www.contractingrg.com/
"Cordova Central, LLC",http://cordovacentral.com/
CoreLogic,https://www.corelogic.com/
Cotton & Co.,http://www.cottoncpa.com/
Crosby Marketing Communications,https://www.crosbymarketing.com/
CSI Health IT,https://csihealthcareit.com/
CSI Consulting,http://www.csican.com/
CSI solutions,http://www.spreadinnovation.com/
"Cygnus Corporation, Inc.",http://www.cygnusc.com/
Cynosure,http://www.cynosureinc.com
"DANYA International, Inc.",http://www.danya.com/
"Deloitte Consulting, LLC",https://www2.deloitte.com
"Destination Services, LLC",https://www.destination-services.net/
"Development Services Group, Inc.",http://www.dsgonline.com/home
Discern Health,http://discernhealth.com/
DJS Consulting,https://www.djs-cg.com/
DSG,http://www.dsgconsulting.com/
E Quality Corporation ,http://e-qacorp.com/ 
Eastern Research Group,https://www.erg.com/
"Econometrica, Inc.",https://econometricainc.com/
Education Development Center Consulting,http://www.edcconsulting.com
"Education Development Center, Inc.",https://www.edc.org/
Elder Research,https://www.elderresearch.com/
E-Quality,http://e-qacorp.com/
F2 Solutions,http://www.f2solutions.com/
FEI Systems,http://www.feisystems.com/
FHI 360 (Family Health International),https://www.fhi360.org/
FMR,http://www.fmrconsulting.com/
Forever Media,http://www.forevermediainc.com/about_us/
Forum One,https://forumone.com/
Garud Technology Services Inc.,http://www.garudtechnology.com
GDIT,https://gdit.com/
GEARS,http://www.getintogears.org/ 
Global Evaluation & Applied Research Solutions (GEARS) Inc,http://getingears.com/
"Gramercy Research Group, LLC",http://www.gramercyresearch.com/
HCDI,http://www.hcdi.com/
"Hendall, Inc.",https://hendall.com/
HIT,http://hitconsultant.net/about-us/
HSAG,https://www.hsag.com/
Human Coalition,https://www.humancoalition.org/
Human Services Research Institute,https://www.hsri.org/
ICF International ,https://www.icf.com
Idoneous Consulting,http://www.idoneousconsulting.com
Impact Marketing Communications,http://www.impactmarketing.com/
"IMPAQ International, LLC",https://www.impaqint.com/
Industrial Economics,https://www.indecon.com/
"IQ Solutions, Inc.",http://iqsolutions.com/
"James Bell Associates, Inc.",https://www.jbassoc.com/
"JBS International, Inc.",https://www.jbsinternational.com/
"John Snow, Inc.",https://www.jsi.com/
Johns Hopkins - Armstrong Institute for Patient Safety and Quality,http://www.hopkinsmedicine.org/armstrong_institute
Gartner,https://www.gartner.com/en
"Kauffman and Associates, Inc.",https://www.kauffmaninc.com/
Kearney & Co.,http://www.kearneyco.com/
Kennell & Assoc.,http://www.kennellinc.com/
Knowesis,https://www.knowesis1.com/
Lantana,http://www.lantanagroup.com/
"Leed Management Consulting, Inc.",http://leedmci.com/
Leidos,https://www.leidos.com/
Lewin,http://www.lewin.com/
Lifespan Technologies,https://lifespantechnology.com/
Logistics Management Institute,http://www.lmi.org/en/Home 
M Davis Co,https://www.mdavisco.com/
Massachusetts General Hospital - The Disparities Solution Center,https://mghdisparitiessolutions.org/
Mathematica Policy Research,https://www.mathematica-mpr.com
McKing Consulting,http://www.mcking.com/
McKinley Group,http://www.mckinleygroup.net
MDB Inc,https://www.michaeldbaker.com/
Mental Health America,http://www.mentalhealthamerica.net/
Metropolitan Group,https://www.metgroup.com/
Milliman,http://us.milliman.com/
Montana Health Education and Research Foundation,http://www.mthcf.org/who-we-are/about-us/ 
Multicultural  Community Service,http://mcsdc.org/about/
NASADAD,http://nasadad.org/
National Association of State Mental Health Program Directors,https://www.nasmhpd.org/
National Councial for Behavioral Health,https://www.thenationalcouncil.org/
National Government Services,http://www.ngsservices.com/
National Quality Forum,http://www.qualityforum.org/Home.aspx
"Native American Management Services, Inc.",http://namsinc.info/
NERA,http://www.nera.com/
Northrup Grumman,http://www.northropgrumman.com/
NOVAD,http://www.novadconsulting.com/
On Par Productions,http://www.onparproductions.net
Only Connect Consulting,http://www.myonlyconnect.com
Open Minds,https://www.openminds.com/
"Operational Performance Solutions, Inc.",http://www.opsgroupinc.com
"Optimal Solutions Group, LLC",http://optimalsolutionsgroup.com/
Organizational Wellness and Learning Systems,http://organizationalwellness.com
Pacific Institute for Research and Evaluation,http://www.pire.org
Pathfinder,https://www.pathfinderconsultants.com/
Patient and Family Centered Care Partners,http://www.pfccpartners.com
"Penngood, LLC",http://www.penngood.com/
"Policy Research Associates, Inc.",https://www.prainc.com
Primece,https://primece.com/
PWC,https://www.pwc.com/
PWC - GuideHouse,https://guidehouse.com/
Qualadigm,http://www.qualidigm.org/
RAND Corporation,http://www.rand.org
Regis LT&D,https://www.regiscompany.com/
Regis Consulting,http://www.regis-consulting.com/
Reid Temple,http://www.reidtemple.org/
RELI  Group Inc.,https://www.religroupinc.com/
Results Craft,http://www.resultscraft.com
Richy May,https://www.richeymay.com/
"Ripple Effect Communications, Inc.",http://rippleeffect.com
RTI International,https://www.rti.org/
Rural Health Innovations,https://www.ruralcenter.org/rhi
Seamon Corporation ,http://www.seamoncorporation.com/contracts
Senture,http://www.senture.com/index.php/en/
Seven Sisters Community Development Group,https://www.7sistersconsulting.com/
Signature Consulting,http://www.sghealthit.com/
"Social & Scientific Systems, Inc",https://www.s-3.com/
"Social Solutions International, Inc.",http://www.socialsolutions.biz/
"Sonora & Associates, LLC",http://www.sonoraassociates.com
South West Business Development Consultants,http://www.swbdc.com/
SP Group LLC,http://www.spgroupusa.com
Strategic Tech Institute,https://www.sti-inc.com/
Summit Consulting,https://www.summitllc.us/
Sundance Research Institute,http://sundanceresearchinstitute.org/
"Synergy Enterprises, Inc.",http://www.sei2003.com/
T Curtis & Co.,http://www.tcurtiscpa.com/site/
Talu LLC,http://www.talullc.com/
Texas Medical Grp,https://www.texmed.org/TMAPracticeConsulting/
The Aquiline Group,http://theaquilinegroup.com/
"The Bizzell Group, LLC",http://www.thebizzellgroup.com
The Cloudburst Group,https://www.cloudburstgroup.com/
The Health Policy Research Consortium, http://hprc.info/  
The Lewin Group,http://www.lewin.com
"The Lewin Group, Inc.",http://www.lewin.com/
The MayaTech Corporation,http://www.mayatech.com/
The Policy & Research Group,http://www.policyandresearch.com/
The Regulatory. Grp,https://www.regulationwriters.com/
TMN Corp,http://www.tmncorp.com/
Total Solutions,https://www.totalsol.com/
"TPJ Systems, Inc.",http://www.tpjsystems.com
"Tribal Tech, LLC",http://www.tribaltechllc.com/
"Trillium, LLC",http://trilliuminfo.com/
Truven Health Analytics,http://truvenhealth.com
"Tyonek Global Services, LLC",http://www.tyonek.com/
"University of Montana - Center for Children, Families, and Workforce Development",http://health.umt.edu/ccfwd
"University Research Co., LLC",http://www.urc-chs.com/ 
Urban Institute,https://www.urban.org/
URC-CHS,https://www.urc-chs.com/
Vanguard Communications of Falls Church,https://www.vancomm.com/
Verdi Consulting,https://www.verdiconsulting.net/
Vire Consulting,http://www.vireconsulting.com/
Vital Statistics Consulting,http://www.vitalstatisticsconsulting.com
"Walter R. McDonald and Associates, Inc.",http://www.wrma.com/
PJP Economics,http://www.pjpeconomics.com/about.html
Westat,https://www.westat.com/
"Westat, Inc.",https://www.westat.com/
X4 Health ,https://www.x4health.com/
Cober Johnson & Romney,http://cjrlegal.com/our-people/
